hostname,record_type,resolved_ip,ttl_remaining_sec,authoritative_server
api-gw-505.apexledger.example,A,10.6.112.10,1800,1.0.0.1
srv-app-205.apexledger.example,A,10.1.159.135,7200,1.0.0.1
metrics-agent-711.apexledger.example,A,10.3.215.248,86400,1.0.0.1
srv-db-920.apexledger.example,A,10.3.156.103,600,1.0.0.1
srv-db-083.apexledger.example,A,10.0.95.8,600,10.0.0.1
cache-redis-971.apexledger.example,A,10.1.25.218,1800,1.1.1.1
vault-sec-004.apexledger.example,A,10.0.158.43,3600,1.1.1.1
metrics-agent-988.apexledger.example,A,10.2.220.127,300,1.0.0.1
worker-job-183.apexledger.example,A,10.7.22.21,600,1.0.0.1
metrics-agent-044.apexledger.example,A,10.2.76.199,7200,1.0.0.1
internal-svc-021.apexledger.example,A,10.10.255.155,86400,1.1.1.1
auth-node-209.apexledger.example,A,10.2.97.51,3600,1.1.1.1
api-gw-499.apexledger.example,A,10.3.214.32,1800,10.0.0.1
srv-node-139.apexledger.example,A,10.3.149.253,3600,1.1.1.1
db-shard-483.apexledger.example,A,10.10.160.67,7200,1.0.0.1
srv-app-434.apexledger.example,A,10.12.117.209,1800,1.1.1.1
db-shard-511.apexledger.example,A,10.13.75.253,1800,10.0.0.1
metrics-agent-201.apexledger.example,A,10.8.46.36,1800,1.1.1.1
metrics-agent-916.apexledger.example,A,10.5.192.68,600,10.0.0.1
portal-web-406.apexledger.example,A,10.4.87.147,300,10.0.0.1
auth-node-016.apexledger.example,A,10.4.158.40,86400,1.1.1.1
service-765.apexledger.example,A,10.9.69.104,600,10.0.0.1
cache-redis-968.apexledger.example,A,10.14.12.201,86400,10.0.0.1
worker-job-046.apexledger.example,A,10.12.30.225,86400,1.1.1.1
metrics-agent-012.apexledger.example,A,10.9.62.81,300,1.0.0.1
srv-app-841.apexledger.example,A,10.3.119.60,86400,10.0.0.1
api-gw-352.apexledger.example,A,10.5.196.152,1800,10.0.0.1
portal-web-747.apexledger.example,A,10.6.240.135,600,1.0.0.1
db-shard-712.apexledger.example,A,10.1.68.25,86400,10.0.0.1
db-shard-644.apexledger.example,A,10.3.89.25,600,10.0.0.1
worker-job-412.apexledger.example,A,10.1.233.11,300,1.1.1.1
api-gw-219.apexledger.example,A,10.12.201.154,1800,1.1.1.1
kafka-broker-227.apexledger.example,A,10.4.251.76,3600,1.0.0.1
billing-srv-035.apexledger.example,A,10.2.103.223,86400,1.0.0.1
srv-node-054.apexledger.example,A,10.1.223.50,86400,1.0.0.1
srv-db-743.apexledger.example,A,10.15.37.246,86400,1.1.1.1
auth-node-781.apexledger.example,A,10.8.115.61,86400,1.0.0.1
srv-db-428.apexledger.example,A,10.10.187.10,7200,10.0.0.1
portal-web-559.apexledger.example,A,10.0.53.84,1800,1.1.1.1
srv-node-397.apexledger.example,A,10.2.21.50,86400,1.1.1.1
api-gw-182.apexledger.example,A,10.11.0.41,300,1.0.0.1
auth-node-002.apexledger.example,A,10.11.60.22,1800,10.0.0.1
api-gw-616.apexledger.example,A,10.8.59.207,7200,1.1.1.1
stream-ws-119.apexledger.example,A,10.0.68.208,600,10.0.0.1
db-shard-756.apexledger.example,A,10.2.116.96,600,10.0.0.1
srv-node-927.apexledger.example,A,10.4.94.45,600,10.0.0.1
db-shard-210.apexledger.example,A,10.15.237.125,3600,1.1.1.1
stream-ws-731.apexledger.example,A,10.0.184.79,600,1.0.0.1
db-shard-533.apexledger.example,A,10.10.146.174,600,1.0.0.1
api-gw-775.apexledger.example,A,10.14.220.69,300,10.0.0.1
auth-node-629.apexledger.example,A,10.15.158.66,86400,10.0.0.1
metrics-agent-414.apexledger.example,A,10.12.20.71,86400,1.0.0.1
srv-db-230.apexledger.example,A,10.7.200.186,300,10.0.0.1
worker-job-349.apexledger.example,A,10.0.145.148,3600,1.0.0.1
metrics-agent-012.apexledger.example,A,10.13.24.87,3600,1.0.0.1
cache-redis-234.apexledger.example,A,10.6.238.238,86400,10.0.0.1
auth-node-399.apexledger.example,A,10.15.237.28,300,10.0.0.1
db-shard-289.apexledger.example,A,10.8.146.103,7200,1.0.0.1
srv-app-899.apexledger.example,A,10.7.235.46,300,1.0.0.1
portal-web-553.apexledger.example,A,10.7.65.212,3600,1.0.0.1
service-489.apexledger.example,A,10.10.199.129,7200,1.0.0.1
worker-job-082.apexledger.example,A,10.13.154.140,300,1.0.0.1
auth-node-046.apexledger.example,A,10.7.220.44,600,1.1.1.1
metrics-agent-420.apexledger.example,A,10.10.127.186,86400,10.0.0.1
internal-svc-091.apexledger.example,A,10.3.3.7,7200,10.0.0.1
internal-svc-418.apexledger.example,A,10.0.15.46,7200,1.1.1.1
auth-node-877.apexledger.example,A,10.0.252.5,300,10.0.0.1
portal-web-983.apexledger.example,A,10.4.133.80,600,1.0.0.1
api-gw-053.apexledger.example,A,10.12.78.71,1800,1.1.1.1
srv-db-868.apexledger.example,A,10.14.224.70,3600,1.0.0.1
kafka-broker-216.apexledger.example,A,10.5.106.29,3600,10.0.0.1
internal-svc-925.apexledger.example,A,10.14.229.153,600,1.1.1.1
stream-ws-094.apexledger.example,A,10.11.110.220,1800,1.0.0.1
metrics-agent-658.apexledger.example,A,10.12.224.35,86400,1.0.0.1
auth-node-065.apexledger.example,A,10.1.107.56,600,1.1.1.1
api-gw-747.apexledger.example,A,10.13.202.131,3600,10.0.0.1
auth-node-900.apexledger.example,A,10.5.238.214,300,1.1.1.1
vault-sec-986.apexledger.example,A,10.3.88.225,7200,1.0.0.1
internal-svc-093.apexledger.example,A,10.11.14.229,86400,1.1.1.1
worker-job-154.apexledger.example,A,10.5.28.126,1800,1.1.1.1
billing-srv-395.apexledger.example,A,10.10.253.146,7200,1.1.1.1
internal-svc-100.apexledger.example,A,10.15.206.56,1800,1.0.0.1
api-gw-441.apexledger.example,A,10.1.218.229,86400,1.0.0.1
billing-srv-004.apexledger.example,A,10.2.39.75,1800,10.0.0.1
stream-ws-421.apexledger.example,A,10.1.220.246,1800,10.0.0.1
stream-ws-338.apexledger.example,A,10.1.14.118,86400,1.0.0.1
billing-srv-119.apexledger.example,A,10.9.59.249,300,1.1.1.1
vault-sec-822.apexledger.example,A,10.7.32.205,1800,1.0.0.1
srv-app-265.apexledger.example,A,10.0.101.230,3600,10.0.0.1
srv-db-624.apexledger.example,A,10.10.215.17,300,1.1.1.1
srv-app-118.apexledger.example,A,10.10.146.241,1800,1.0.0.1
db-shard-067.apexledger.example,A,10.11.52.91,3600,1.0.0.1
cache-redis-634.apexledger.example,A,10.4.35.13,86400,1.1.1.1
worker-job-298.apexledger.example,A,10.1.84.243,86400,1.1.1.1
srv-app-291.apexledger.example,A,10.10.127.226,300,1.0.0.1
auth-node-227.apexledger.example,A,10.15.117.56,86400,1.0.0.1
metrics-agent-580.apexledger.example,A,10.10.49.107,7200,1.0.0.1
stream-ws-145.apexledger.example,A,10.8.236.78,1800,10.0.0.1
service-342.apexledger.example,A,10.8.23.188,3600,1.0.0.1
worker-job-535.apexledger.example,A,10.11.223.192,600,1.0.0.1
auth-node-547.apexledger.example,A,10.8.165.252,3600,1.1.1.1
portal-web-723.apexledger.example,A,10.6.133.8,86400,1.0.0.1
db-shard-084.apexledger.example,A,10.6.190.127,1800,1.1.1.1
portal-web-600.apexledger.example,A,10.9.80.107,86400,1.0.0.1
srv-node-663.apexledger.example,A,10.9.107.64,300,1.0.0.1
srv-db-945.apexledger.example,A,10.8.113.178,300,1.0.0.1
kafka-broker-472.apexledger.example,A,10.14.227.99,600,10.0.0.1
db-shard-669.apexledger.example,A,10.2.5.79,86400,10.0.0.1
kafka-broker-077.apexledger.example,A,10.13.34.233,600,10.0.0.1
kafka-broker-047.apexledger.example,A,10.13.160.109,600,1.1.1.1
kafka-broker-193.apexledger.example,A,10.11.141.187,3600,1.1.1.1
srv-app-747.apexledger.example,A,10.14.179.98,3600,10.0.0.1
srv-node-941.apexledger.example,A,10.15.74.247,86400,1.0.0.1
db-shard-410.apexledger.example,A,10.9.39.44,600,1.1.1.1
auth-node-513.apexledger.example,A,10.8.172.33,86400,1.0.0.1
service-829.apexledger.example,A,10.5.188.229,86400,1.0.0.1
metrics-agent-548.apexledger.example,A,10.2.248.97,7200,10.0.0.1
internal-svc-524.apexledger.example,A,10.8.206.198,86400,1.1.1.1
internal-svc-609.apexledger.example,A,10.14.176.82,3600,1.0.0.1
portal-web-440.apexledger.example,A,10.0.190.93,1800,10.0.0.1
vault-sec-934.apexledger.example,A,10.13.250.16,7200,10.0.0.1
internal-svc-515.apexledger.example,A,10.10.96.18,3600,1.1.1.1
kafka-broker-796.apexledger.example,A,10.9.233.18,3600,1.0.0.1
kafka-broker-534.apexledger.example,A,10.6.208.163,1800,1.1.1.1
vault-sec-143.apexledger.example,A,10.0.36.146,300,1.0.0.1
auth-node-854.apexledger.example,A,10.4.27.53,1800,1.0.0.1
billing-srv-033.apexledger.example,A,10.10.21.122,3600,1.0.0.1
billing-srv-711.apexledger.example,A,10.9.180.122,7200,1.1.1.1
service-114.apexledger.example,A,10.12.91.236,7200,1.1.1.1
vault-sec-144.apexledger.example,A,10.14.45.245,3600,1.0.0.1
billing-srv-787.apexledger.example,A,10.3.140.55,1800,1.1.1.1
srv-node-333.apexledger.example,A,10.6.255.163,7200,1.0.0.1
vault-sec-414.apexledger.example,A,10.12.246.198,86400,1.0.0.1
internal-svc-078.apexledger.example,A,10.9.239.51,600,1.1.1.1
srv-db-170.apexledger.example,A,10.8.189.35,7200,1.0.0.1
internal-svc-118.apexledger.example,A,10.7.88.187,3600,1.0.0.1
kafka-broker-896.apexledger.example,A,10.0.151.58,300,10.0.0.1
portal-web-286.apexledger.example,A,10.5.81.80,600,1.1.1.1
stream-ws-850.apexledger.example,A,10.6.100.87,7200,1.1.1.1
vault-sec-942.apexledger.example,A,10.3.148.179,7200,1.0.0.1
internal-svc-290.apexledger.example,A,10.9.37.201,1800,10.0.0.1
db-shard-405.apexledger.example,A,10.5.241.20,600,1.0.0.1
api-gw-025.apexledger.example,A,10.9.73.102,1800,1.1.1.1
srv-db-842.apexledger.example,A,10.12.92.101,7200,1.0.0.1
